date,SEDM,ANN,WANN,LSTM,GRU,CNN,ConvLSTM,RF
12/31/2011,447.1936587,4453.817,2328.6648,6796.35,3441.8474,3868.731,2674.7317,537.5783782
1/31/2012,309.2326274,2487.4226,724.4519,4550.749,1426.3262,3215.5688,555.0413,302.7342438
2/29/2012,144.0822263,2059.805,-2167.2961,2754.0303,215.91995,2201.05,105.38776,187.0625264
3/31/2012,37.9066605,1011.0184,-2360.2146,1072.2499,-944.8234,513.786,-105.16273,171.7914969
4/30/2012,43.97081238,539.66394,-1821.4902,555.03143,-898.7318,149.40361,-375.04114,502.7090431
5/31/2012,73.10420193,625.21014,688.10974,1195.8955,503.6187,-399.60065,-258.78714,145.0244345
6/30/2012,114.1181341,5161.631,4709.736,4731.106,6445.086,1478.5852,7178.603,300.2861367
7/31/2012,17829.17941,18012.19,23351.805,13908.317,17749.172,9909.889,20367.25,15784.36072
8/31/2012,24879.99781,27601.78,21149.615,23220.771,27389.475,19927.021,28170.88,18326.6688
9/30/2012,27749.95296,24037.922,12344.772,20996.627,23703.926,18888.955,21605.227,20074.93944
10/31/2012,10036.33152,8306.615,-381.0705,9100.808,8163.867,9083.045,8380.521,11884.14028
11/30/2012,3005.054001,1854.3894,-3233.0679,1356.609,453.47604,4208.267,1418.9147,5524.678802
12/31/2012,75.89915968,1264.4115,-338.00406,-368.9156,-1044.9509,465.34906,-235.18225,293.2085705
1/31/2013,53.70390505,-498.07053,-312.00708,-138.79266,-685.1359,784.95166,-357.22687,115.3894355
2/28/2013,5.02963285,-1801.3177,-1185.5537,55.28676,-651.8976,357.55463,-370.08792,50.11074419
3/31/2013,5.923001257,773.6316,1257.7128,-44.425163,-480.0289,-379.04608,-325.85916,26.24569241
4/30/2013,7.383141016,1238.1083,1819.2168,-51.440105,-510.20734,-164.43527,-427.98114,64.48320057
5/31/2013,9.200421517,-113.714264,738.2268,777.17816,-772.3772,-961.8584,-575.87555,180.1624112
6/30/2013,389.1228492,5973.25,16257.253,6386.2383,7652.968,6759.3623,4430.145,284.9817357
7/31/2013,19370.27464,21185.127,39613.93,18281.336,19312.045,18439.656,19613.494,19956.41477
8/31/2013,27061.05866,31777.459,29189.096,29355.781,29157.111,27428.154,31056.615,27808.90995
9/30/2013,31980.66624,30175.096,20342.09,27037.443,28031.121,24332.955,27696.89,29581.33278
10/31/2013,13373.34244,14932.764,6342.9717,15281.331,14989.671,10501.798,13944.143,15389.84492
11/30/2013,5785.982278,5066.6274,1884.3878,5419.735,4519.044,4538.165,4991.926,5660.027935
12/31/2013,509.6442085,1734.896,-606.91315,1181.2499,-170.7949,1157.1501,-71.14682,432.538808
1/31/2014,144.2106772,703.7226,-3480.087,-192.41483,-1412.8718,-157.60997,-477.90717,135.9842889
2/28/2014,38.96954022,-714.7482,-594.885,-71.216125,-1096.2887,-689.5458,-444.5883,78.38654419
3/31/2014,35.92373003,264.9323,300.11026,-27.851387,-535.3451,-994.4654,-364.21982,29.56185938
4/30/2014,27.52926944,1022.42017,-310.73172,-455.68124,-566.2143,23.102736,-280.65155,35.23468601
5/31/2014,307.499668,1480.2423,-144.16423,1089.225,428.57205,353.61826,-99.94236,62.29105776
6/30/2014,378.6173818,1513.7802,3337.7886,3751.543,72.99908,1999.5269,313.58057,297.23617
7/31/2014,14703.17301,13173.182,26645.645,12593.773,13623.774,15570.156,12865.842,18126.14121
8/31/2014,20820.03741,21858.361,25320.182,21523.045,20255.96,23679.56,20889.32,27232.92655
9/30/2014,25694.11403,27150.746,17773.24,25899.107,23735.145,26219.594,25622.785,34311.53946
10/31/2014,11678.91594,16750.066,3373.233,17701.85,14706.967,14394.67,15143.951,17381.77794
11/30/2014,5392.473975,7212.1177,-1267.283,7256.845,5267.969,5691.2466,5583.918,7103.418613
12/31/2014,556.0397174,2008.0653,1533.279,3071.0977,1608.4333,880.06335,386.5324,474.1615646
1/31/2015,270.309606,1781.4471,989.8377,1573.6425,259.23734,909.7609,-159.75005,154.3940854
2/28/2015,159.9167683,2754.0342,-909.9593,1213.7867,95.15773,576.45416,-172.78926,109.6460298
3/31/2015,31.01056814,-877.9935,-68.03045,171.52808,-692.04504,418.06497,-219.11401,96.49598251
4/30/2015,7.383141016,-626.6048,694.9157,-722.78827,-747.2623,-488.01688,-270.48853,26.0430021
5/31/2015,237.0639887,-1576.8539,620.0136,262.31482,-69.31266,-182.02226,-311.45923,85.67522709
6/30/2015,792.708676,4100.725,6350.5264,5215.294,4802.6377,1218.9485,5153.047,232.6998228
7/31/2015,13546.8478,15644.052,29094.424,14111.286,15679.041,13921.271,16484.281,16171.78889
8/31/2015,24151.38652,24882.76,24809.203,25838.682,25017.027,22794.354,26914.803,23051.10809
9/30/2015,29946.35517,27728.014,14311.542,27106.5,25023.09,24794.969,26949.717,29179.55313
