Date,ANN,WANN,LSTM,GRU,CNN,ConvLSTM,RF
1/31/2018,1.092974789,-3430.82058,106.0734634,1160.682852,527.3165394,1137.692783,527.8537932
2/28/2018,533.1639062,-5278.207255,-496.6169967,505.3460969,-753.6658251,1217.073466,250.5524665
3/31/2018,262.18991,-2317.782786,136.5085329,706.4326663,-1685.625258,153.8505284,160.5568217
4/30/2018,1469.553952,2121.275436,699.2924864,1151.808647,-1458.383768,244.6982213,138.3107916
5/31/2018,-138.2528133,4222.578589,187.0491447,1269.365137,-796.8668822,218.7006599,297.7495542
6/30/2018,-1691.777324,886.1657823,-1138.291308,172.4127817,422.9607192,121.5807324,390.1926627
7/31/2018,-129.6611031,17388.11721,2279.385226,2074.958927,1365.309824,817.2345048,15776.12065
8/31/2018,13653.9181,33631.08851,16015.08121,16240.97655,15904.68502,16100.63878,24495.09667
9/30/2018,25430.52792,25058.54759,30066.30894,30238.74783,26793.71794,27133.38895,36162.48393
10/31/2018,30693.55202,7894.884916,34693.49851,36588.14348,32067.15301,31623.81879,16061.78875
11/30/2018,15409.01436,818.1888531,19775.01098,23177.32373,18836.80425,17834.47185,6423.527867
12/31/2018,5135.202977,-580.8353853,5476.883637,8021.196399,6836.911568,7044.021235,517.2436677
1/31/2019,-251.662219,-3514.808095,906.5060583,1542.191907,-9.522332477,897.519999,418.5701481
2/28/2019,-282.5344449,-4376.09808,332.4642438,7.571052812,-1364.094752,286.3688459,170.3693863
3/31/2019,-565.3149071,-1732.705714,865.686386,227.7576927,-1806.801154,173.5529004,98.06752798
4/30/2019,-632.3964057,2964.080615,1283.746888,713.9780848,-1694.653252,-29.90207584,94.46541101
5/31/2019,-1436.185846,3634.212498,527.7642404,937.8845485,-976.2725406,-108.4771486,332.3864664
6/30/2019,-1587.726244,2164.899761,-1666.141362,-15.00144801,-145.4513942,-416.3018964,331.8869211
7/31/2019,-502.4581178,18647.06673,-46.92298702,-315.9308138,745.598696,-237.9495663,16655.9093
8/31/2019,15096.76719,33503.2021,12557.56906,12123.22342,16050.99917,14643.65144,29929.34355
9/30/2019,27316.17912,22297.86916,27968.77346,27935.49263,30099.73771,25439.84354,37086.70602
10/31/2019,36320.34471,8641.788455,35092.25843,38191.93553,38596.01903,33102.00182,18261.44153
11/30/2019,22075.20726,1643.875489,21810.10533,28168.70758,24067.42874,18243.47013,6645.8585
12/31/2019,10104.09657,407.8100724,6350.276853,10453.82814,8550.129712,7161.413877,583.1242069
1/31/2020,-546.3325311,-3033.499123,1016.146202,2458.895844,-509.687116,74.89645696,396.1716306
2/29/2020,-1350.869991,-4362.766768,59.76368486,37.22906363,-1977.937221,286.3682781,218.617024
3/31/2020,-242.8486457,-1832.688712,531.2245039,41.74963102,-2683.970162,174.960204,88.6624939
4/30/2020,889.0674172,1989.155474,1222.431035,515.9536782,-1626.428309,87.07020087,81.96121701
5/31/2020,-1082.117183,3321.550843,1045.70047,928.3619293,-651.7147096,-4.513426686,250.9204733
6/30/2020,-695.177152,2791.181931,-845.6002241,567.8230765,315.766688,117.5262786,340.8251499
7/31/2020,-235.7836369,24083.80524,-944.4000747,-946.9023172,258.5631629,417.262843,17105.53476
8/31/2020,13453.31951,31315.52938,10406.89704,8717.276824,16084.36694,16466.81999,30398.07862
9/30/2020,24674.59223,21066.76844,26465.74271,24550.03702,31152.10685,27252.6128,36165.79204
10/31/2020,33956.11879,7532.793099,35553.45558,36643.29745,40521.94621,36635.98044,20653.80125
11/30/2020,20403.03014,1920.820714,24625.23943,31133.31209,25811.24061,20781.60795,6807.702949
12/31/2020,9132.603831,-61.18395816,8371.446443,13083.19168,9210.529678,9914.62857,609.7374143
1/31/2021,-697.7526393,-4625.540129,1577.027822,3437.772264,-40.75579331,110.5315336,420.0771669
2/28/2021,823.6080896,-4473.6512,-86.37534421,41.67014067,-1878.313104,227.9089677,187.6296435
3/31/2021,1030.463225,-663.1654179,110.4619795,-281.5259314,-2728.062971,77.181845,96.25440224
4/30/2021,927.3843603,2565.822371,754.9988352,170.2696246,-1634.801725,117.4269562,84.51212778
5/31/2021,-474.9949328,1567.453918,732.1823477,679.7404566,-261.1653306,227.5185728,253.020432
6/30/2021,34.30276439,5185.03853,-804.9988259,624.495963,580.6697306,346.5318047,340.422741
7/31/2021,-445.8849187,27424.41674,-1147.762988,-829.9512515,495.1187309,113.8154583,17447.20862
8/31/2021,12975.47026,29879.95106,9475.038513,6381.161935,16914.03852,15253.59223,31461.4997
9/30/2021,23835.43113,18621.18057,25820.73532,22136.56992,32235.47528,26240.78957,37771.08689
10/31/2021,32773.63985,6006.398672,35983.25632,35314.34602,41520.77065,36207.45674,20025.60602
11/30/2021,18440.23891,2212.447829,26487.8884,33374.27022,25833.47714,22090.42788,6807.702949
12/31/2021,8027.877482,-794.3381358,9534.731546,15615.02868,9032.759412,10747.41357,609.7374143
1/31/2022,-880.0217346,-5062.445797,1891.591242,4486.588672,-49.7687009,236.2484785,409.3230874
2/28/2022,-147.7311044,-4184.103104,-131.166776,278.2924643,-1856.06554,153.0795125,226.5614984
3/31/2022,-202.1825601,50.83786361,-64.29276349,-369.7702749,-2714.959068,127.1081099,104.7817354
4/30/2022,212.5488775,3025.888456,552.058924,17.34447213,-1581.849474,132.9291151,76.97122648
5/31/2022,44.55969591,697.5543173,571.5140242,547.2962355,-138.790752,291.1338866,253.020432
6/30/2022,168.0793411,7207.540773,-845.1051128,629.5497646,613.3298809,395.8118861,346.6474559
7/31/2022,38.19320854,29655.40088,-1209.16263,-706.8911092,760.3813051,-210.5218276,18436.43807
8/31/2022,13502.61001,27936.0925,8981.171799,4448.723688,18085.06696,13916.27778,30772.65309
9/30/2022,24566.77866,15933.44686,25358.78804,19962.38627,33526.46341,24919.70023,36784.85474
10/31/2022,32809.64346,4881.991825,36063.40076,34024.32346,42478.9168,34365.17028,19437.25288
11/30/2022,17932.90361,2132.671791,27382.2476,35211.89238,25445.75372,21326.03831,6807.702949
12/31/2022,7486.389235,-1360.349122,10075.68185,18204.70609,8653.794859,10161.81565,609.7374143
1/31/2023,-531.8880805,-5051.274054,2058.075826,5623.333408,-255.7377622,371.6264207,409.3230874
2/28/2023,-218.9468107,-3976.448982,-106.5830072,619.5626947,-2018.220171,212.7377482,177.4409021
3/31/2023,-724.603343,571.2525848,-89.46151639,-374.2278989,-2750.912714,223.2481161,97.53551251
4/30/2023,-994.0895719,3326.060126,516.1071432,-67.70890173,-1620.740045,110.2408666,77.633679
5/31/2023,232.3961167,655.0894551,551.5960955,464.2823568,-239.361615,320.8395105,253.020432
6/30/2023,-152.2269628,9147.597965,-832.6853139,663.9298265,447.5816376,349.8463494,346.6474559
7/31/2023,-328.7472939,30733.1798,-1287.614087,-493.6451122,926.4909861,-147.562228,17934.763
8/31/2023,12916.26974,26169.97186,8558.601761,2676.667113,19270.95003,13590.71387,31461.4997
9/30/2023,24379.28527,14252.03288,24908.75717,17697.4863,34827.63409,24800.21943,36817.19439
10/31/2023,32617.72197,4216.901323,35977.23712,32433.03961,43463.85477,34066.60324,19452.60471
11/30/2023,18352.27133,1697.333179,27936.93579,36548.22569,25090.67002,21477.26205,6807.702949
12/31/2023,7352.912938,-1543.479664,10423.37328,20949.20086,8394.924971,10198.69657,609.7374143
1/31/2024,-252.4046021,-4959.531223,2170.428132,6884.236552,-410.2932779,358.2380967,409.3230874
2/29/2024,-497.6095716,-3731.467227,-73.37039893,1030.80552,-2132.987686,197.0630223,222.1704244
3/31/2024,-723.4849625,1036.901444,-81.26711604,-363.7796228,-2794.792035,223.1308273,112.7071992
4/30/2024,-1248.431835,3401.57318,526.5821054,-150.0849109,-1732.558954,73.71683643,85.9954714
5/31/2024,-496.285814,990.3362478,588.4074264,379.3071755,-427.0655789,289.7530257,253.020432
6/30/2024,-757.5947572,11177.55268,-770.82479,683.4886698,250.845948,352.0396341,346.6474559
7/31/2024,-583.3115218,30509.13151,-1386.613394,-228.564433,1105.690781,-77.33769728,18240.32368
8/31/2024,12100.20691,24565.37058,8076.771507,1184.396364,20343.52075,13667.14789,30772.65309
9/30/2024,23855.61454,12843.56912,24392.81096,15370.33078,35894.59831,24851.19448,36784.85474
10/31/2024,32554.47491,3751.75668,35817.06245,30591.35793,44189.33364,34315.44631,19452.60471
11/30/2024,19624.15322,1407.455716,28469.22392,37339.07743,24649.0489,21721.57709,6807.702949
12/31/2024,8457.659403,-1843.858132,10807.9067,23804.35397,8204.527745,10364.58741,609.7374143
1/31/2025,-65.03285513,-4757.633369,2299.131926,8306.092399,-490.9681936,312.50002,403.7509257
