Date,SEDN
10-Feb-1990,0.501
1-Jun-1992,0.220
20-Jul-1992,616.331
22-Aug-92,3.351
1-May-1993,0.403
15-May-93,0.082
28-Aug-94,3.897
3-Sep-1994,20.200
16-Aug-2004,1171.303
17-Aug-2004,4735.631
5-Sep-2005,2504.157
6-Sep-2005,2289.049
7-Sep-2005,3203.401
17-Jul-2006,495.004
18-Jul-2006,1263.919
28-Jul-2006,1039.285
10-Aug-2007,2260.818
14-Aug-2007,1317.168
22-Aug-2007,329.208
23-Aug-2007,2518.795
24-Aug-2007,2165.943
25-Aug-2007,6780.354
11-Aug-2007,1325.820
4-Dec-2007,1.883
1-Aug-2008,9604.452
2-Aug-2008,6216.398
3-Aug-2008,8000.239
4-Aug-2008,2678.151
5-Aug-2008,8150.441
12-Aug-2010,555.281
20-Aug-2010,1308.750
10-Oct-2011,10.332
11-Oct-2011,8.158
12-Oct-2011,10.048
26-Aug-2014,111.952
27-Aug-2014,1729.263
28-Aug-2014,446.833
29-Aug-2014,272.430
30-Aug-2014,1304.108
31-Aug-2014,1227.190
1-Sep-2014,785.914
11-Aug-2015,1716.141
12-Aug-2015,344.209
13-Aug-2015,1717.663
14-Aug-2015,270.416
15-Aug-2015,1605.054
16-Aug-2015,1519.076
17-Aug-2015,1262.093
18-Aug-2015,800.612
19-Aug-2015,3768.741
20-Aug-2015,438.141
21-Aug-2015,269.538
22-Aug-2015,512.640
26-Aug-2015,565.479
27-Aug-2015,122.753
28-Aug-2015,345.678
29-Aug-2015,719.630
30-Aug-2015,462.565
31-Aug-2015,566.906
1-Sep-2015,1546.187
2-Sep-2015,1284.587
3-Sep-2015,446.765
4-Sep-2015,640.649
5-Sep-2015,1267.114
6-Sep-2015,378.118
7-Sep-2015,155.945
20-Jul-2016,1872.866
23-Jul-2016,804.882
27-Jul-2016,918.030
28-Jul-2016,621.821
1-Aug-2016,385.979
15-Aug-2016,556.514
16-Aug-2016,1185.158
24-Aug-2016,210.813
26-Aug-2016,641.348
