Date ,PRECP_AG,PRECP_DT,PRECP_MK,PRECP_BD,PRECP_GM
1-Mar,0.432258065,0.55483871,1.683870968,0.041935484,0.432258065
1-Apr,1.406666667,0.8,2.643333333,0.406896552,1.406666667
1-May,2.764516129,3.077419355,1.896774194,1.058064516,2.764516129
1-Jun,7.773333333,6.373333333,8.683333333,8.973333333,7.773333333
1-Jul,12.40645161,15.79677419,12.16129032,12.50322581,12.40645161
1-Aug,14.77096774,13.22580645,12.96451613,14.35483871,14.77096774
1-Sep,5.97,6.16,2.163333333,5.866666667,5.97
1-Oct,2.074193548,1.470967742,2.374193548,1.84516129,2.074193548
1-Nov,0.836666667,0.15,0,0.06,0.836666667
1-Dec,0.519354839,0.232258065,0.390322581,0.358064516,0.519354839
2-Jan,0.029032258,0.012903226,0.122580645,0,0.029032258
2-Feb,0.032142857,0.035714286,0.042857143,0.035714286,0.032142857
2-Mar,1.525806452,1.941935484,1.680645161,0.080645161,1.525806452
2-Apr,2.033333333,1.503333333,1.15,0.48,2.033333333
2-May,0.609677419,1.522580645,0.187096774,0.151612903,0.609677419
2-Jun,8.25,6.776666667,6.37,11.31666667,8.25
2-Jul,7.964516129,8.277419355,11.10645161,14.8516129,7.964516129
2-Aug,11.2483871,10.10967742,11.70322581,9.393548387,11.2483871
2-Sep,5.423333333,5.107692308,6.903333333,6.2,5.423333333
2-Oct,2.85483871,0.093548387,0.470967742,1.083870968,2.85483871
2-Nov,0.11,0.563333333,0.106666667,0,0.11
2-Dec,0.038709677,0.606451613,0.116129032,0.048387097,0.038709677
3-Jan,0,0,0,0.009677419,0
3-Feb,0.678571429,0.496428571,0.589285714,0,0.678571429
3-Mar,0.5,0.803333333,2.477419355,1.929032258,0.5
3-Apr,0.84,0.936666667,0.21,0,0.84
3-May,0.287096774,0.335483871,0.34516129,0.029032258,0.287096774
3-Jun,4.406666667,2.873333333,5.62,7.323333333,4.406666667
3-Jul,11.06774194,14.05483871,12.23225806,18.52903226,11.06774194
3-Aug,15.2,12.8,10.20645161,12.31935484,15.2
3-Sep,8.346666667,7.917857143,7.906666667,8.606666667,8.346666667
3-Oct,1.219354839,0.538709677,0.532258065,1.45483871,1.219354839
3-Nov,0.393333333,1.11,0.123333333,0.306666667,0.393333333
3-Dec,0.406451613,0.477419355,0.667741935,0,0.406451613
4-Jan,0,0.016129032,0.167741935,0.370967742,0
4-Feb,0.955172414,1.296551724,0.286206897,0.020689655,0.955172414
4-Mar,0.212903226,1.087096774,0.361290323,0.270967742,0.212903226
4-Apr,1.87,2.516666667,1.923333333,0.8,1.87
4-May,0.406451613,0.616129032,0.748387097,0.651612903,0.406451613
4-Jun,6.143333333,4.7,4.406666667,5.006666667,6.143333333
4-Jul,15.03548387,10.76451613,13.39032258,14.77419355,15.03548387
4-Aug,9.267741935,9.522580645,6.264516129,13.25483871,9.267741935
4-Sep,6.293333333,4.026666667,3.436666667,6.886666667,6.293333333
