Date,DMAX,DMIN,MMAX,MMIN,BMAX,BMIN
1/31/1995,23.23870968,8.558064516,27.41935484,3.790322581,28.11612903,8.85
2/28/1995,24.13214286,9.585714286,27.98214286,6.882142857,28.91785714,10.76071429
3/31/1995,24.89677419,10.15806452,27.61290323,7.064516129,30.21612903,11.74516129
4/30/1995,24.28333333,12.08,26.43333333,10.3,30.90666667,15.75
5/31/1995,23.70322581,11.94193548,26.09677419,11.35483871,29.86129032,16.42580645
6/30/1995,23.20333333,11.33,25.87931034,10.35,28.30333333,14.97666667
7/31/1995,18.22903226,10.68387097,20.51612903,11.83870968,24.15806452,14.83548387
8/31/1995,18.73225806,10.52258065,22.03225806,11.27419355,24.07419355,13.93870968
9/30/1995,19.98,9.153333333,23.96666667,9.216666667,25.92666667,13.15666667
10/31/1995,21.80967742,8.209677419,27.4516129,5.903225806,27.4,12.7516129
11/30/1995,22.01333333,8.453333333,28.13333333,5.366666667,27.24333333,11.03666667
12/31/1995,21.57666667,8.256666667,26.01612903,6.016129032,27.54516129,10.6516129
1/31/1996,22.5516129,8.229032258,26.56774194,4.548387097,27.67419355,9.651612903
2/29/1996,24.48275862,9.913793103,29.14137931,4.706896552,30.13103448,11.4862069
3/31/1996,24.1483871,10.66774194,27.79032258,8.516129032,30.26129032,13.54193548
4/30/1996,23.36666667,11.63333333,26.41666667,10.21666667,30.31333333,15.67333333
5/31/1996,21.13548387,10.88387097,25.16129032,8.761290323,27.23870968,14.92580645
6/30/1996,19.82333333,10.09,22.72,10.03333333,25.33,14.15
7/31/1996,18.64516129,10.23870968,21.43548387,10.22580645,24.88709677,13.79677419
8/31/1996,19.00645161,10.02903226,22.27419355,10.29677419,23.9483871,13.51290323
9/30/1996,20.54,9.456666667,24.11666667,9.1,25.82333333,12.85
10/31/1996,21.7483871,8.180645161,26.58064516,6.258064516,27.42580645,11.3
11/30/1996,20.95,8.46,26,5.95,26.89333333,9.496666667
12/31/1996,21.63548387,7.738709677,26.33870968,5.048387097,27.24193548,7.219354839
1/31/1997,21.94193548,8.05483871,26.86451613,5.14516129,28.02333333,6.34
