PRECP,TMAX,TMIN,TMEAN,DISCH,SEDM
0.008830549,0.441709786,0.684529424,0.486222422,0.008939381,
0.120843278,0.396435803,0.70824504,0.466246942,0.002460532,4.06E-05
0.065918854,0.595793025,0.84489411,0.696678584,0.001129766,
0.047581013,0.621265091,0.92959978,0.765862247,0.00024472,
0.017724741,0.729403825,1,0.888656493,0.000828594,
0.082255635,0.599180352,0.928950051,0.748897386,0.004414851,
0.482704853,0.239460068,0.805367401,0.405789657,0.233510402,
0.644455052,0.19352081,0.852839464,0.399354361,0.792327802,
0.217567224,0.241221597,0.829748398,0.421520946,0.478965117,
0.012362768,0.310258718,0.586698677,0.329714653,0.085472801,
0.006280562,0.417318335,0.627062791,0.433947881,0.016563695,
0.000588703,0.500989876,0.528794764,0.438692435,0.006908341,
0.00318218,0.57568054,0.719940553,0.607732986,0.002880192,
0.010234686,0.625162301,0.794945759,0.689209948,0.000796452,
0.142466189,0.586209224,0.854525708,0.695175326,0.00013614,
0.029906656,0.625472816,0.865631104,0.731216929,0.000418439,
0.015115354,0.658065242,0.907742434,0.78057391,0.002038348,
0.078424821,0.593856767,0.964419294,0.765862247,0.062085958,
0.607812252,0.196175478,0.815656349,0.379372849,0.364516547,
0.515704057,0.169988751,0.817742719,0.360945267,0.736552676,
0.201142403,0.255448819,0.800097174,0.41467915,0.336456377,
0.049546539,0.268571428,0.589785361,0.300240657,0.101996251,
0.027604879,0.365547057,0.628391781,0.395864211,0.01955533,
0.007494033,0.422114735,0.620394982,0.433608381,0.019518112,
0.000795545,0.319010124,0.267226843,0.147482588,0.011771293,
0,0.413754315,0.321007292,0.250398412,0.007488811,
0.020365951,0.537907761,0.513018377,0.457086236,0.010615747,
0.162439671,0.491151106,0.542627683,0.43948066,0.00215403,
0.06141607,0.452868392,0.533596274,0.405401176,0.00682203,
0.19055423,0.415830521,0.466727638,0.338075472,0.007517062,0
0.525855211,0.105286839,0.417559805,0.075866687,0.184894396,0.088908547
0.581543357,0.025871766,0.453571123,0.037525155,0.694188896,0.000451822
0.204858128,0.123614548,0.335305382,0.041015867,0.309831669,
0.224609324,0.332537384,0.4085317,0.241147443,0.21973551,
0.099469637,0.142212223,0.242276144,0,0.06363299,
0.00938743,0.25871766,0.213781474,0.070630619,0.026408304,
